Uniqid,Category,Startdate,Starttime,Endtime,Cheetos Crunchy,Cheetos Crunchy Flamin' Hot,Cheetos Puffs,Chesters Flamin' Hot Fries,Doritos Cool Ranch,Doritos Jacked Smoky Chipotle BBQ,Doritos Nacho Cheese,Doritos Spicy Sweet Chili,Fritos Bar-B-Q,Fritos Chili Cheese,Fritos Flavor Twists Honey BBQ,Fritos The Original,Funyuns The Original,Lay's Baked Original,Lay's Barbecue,Lay's Classic,Lay's Dill Pickle,Lay's Garden Tomato and Basil,Lay's Kettle Cooked Mesquite BBQ,Lay's Kettle Cooked Original,Lay's Salt and Vinegar,Lay's Sour Cream and Onion,Lay's Sweet Southern Heat BBQ,Ruffles Cheddar and Sour Cream,Ruffles Sour Cream and Onion,Smartfood Popcorn White Cheddar,Sunchips French Onion,Sunchips Harvest Cheddar,Doritos Spicy Nacho,Comment
1383,3,9/30/13,13:13:29,13:16:51,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,
1384,1,9/30/13,13:16:54,13:18:40,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,
1384,2,9/30/13,13:16:54,13:18:40,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,
1384,3,9/30/13,13:16:54,13:18:40,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,
1385,1,9/30/13,13:19:34,13:20:55,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1385,2,9/30/13,13:19:34,13:20:55,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
1385,3,9/30/13,13:19:34,13:20:55,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
1385,4,9/30/13,13:19:34,13:20:55,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,
1387,1,9/30/13,13:20:52,13:24:49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
1387,2,9/30/13,13:20:52,13:24:49,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
1387,3,9/30/13,13:20:52,13:24:49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1387,4,9/30/13,13:20:52,13:24:49,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1387,5,9/30/13,13:20:52,13:24:49,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,
1388,1,9/30/13,14:13:44,14:16:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,
1388,2,9/30/13,14:13:44,14:16:08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,
1388,3,9/30/13,14:13:44,14:16:08,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,
1388,4,9/30/13,14:13:44,14:16:08,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,
1388,5,9/30/13,14:13:44,14:16:08,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,
1389,1,9/30/13,14:31:58,14:33:20,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
1389,2,9/30/13,14:31:58,14:33:20,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,
1389,3,9/30/13,14:31:58,14:33:20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,
1389,4,9/30/13,14:31:58,14:33:20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,
1390,1,9/30/13,14:31:48,14:33:27,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,
1390,2,9/30/13,14:31:48,14:33:27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,
1390,3,9/30/13,14:31:48,14:33:27,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,
1391,1,9/30/13,14:29:56,14:34:12,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,
1391,2,9/30/13,14:29:56,14:34:12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,
1391,3,9/30/13,14:29:56,14:34:12,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,
1391,4,9/30/13,14:29:56,14:34:12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
1392,1,9/30/13,14:32:22,14:36:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
1392,2,9/30/13,14:32:22,14:36:56,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
1392,3,9/30/13,14:32:22,14:36:56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,
1392,4,9/30/13,14:32:22,14:36:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,
1392,5,9/30/13,14:32:22,14:36:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
1392,6,9/30/13,14:32:22,14:36:56,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
1392,7,9/30/13,14:32:22,14:36:56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
1392,8,9/30/13,14:32:22,14:36:56,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1393,1,9/30/13,14:35:53,14:37:49,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
1393,2,9/30/13,14:35:53,14:37:49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,
1393,3,9/30/13,14:35:53,14:37:49,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,
1394,1,9/30/13,14:36:18,14:39:22,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,
1394,2,9/30/13,14:36:18,14:39:22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,
1394,3,9/30/13,14:36:18,14:39:22,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1394,4,9/30/13,14:36:18,14:39:22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
1394,5,9/30/13,14:36:18,14:39:22,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
1394,6,9/30/13,14:36:18,14:39:22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
